l,b,yield
-3.0000,-3.0000,0.422576
-3.0000,-2.9667,0.396847
-3.0000,-2.9333,0.444875
-3.0000,-2.9000,0.486197
-3.0000,-2.8667,0.50522
-3.0000,-2.8333,0.536407
-3.0000,-2.8000,0.524712
-3.0000,-2.7667,0.513017
-3.0000,-2.7333,0.489159
-3.0000,-2.7000,0.43739
-3.0000,-2.6667,0.442847
-3.0000,-2.6333,0.474814
-3.0000,-2.6000,0.477153
-3.0000,-2.5667,0.486197
-3.0000,-2.5333,0.509586
-3.0000,-2.5000,0.542644
-3.0000,-2.4667,0.581627
-3.0000,-2.4333,0.68423
-3.0000,-2.4000,0.682983
-3.0000,-2.3667,0.666922
-3.0000,-2.3333,0.654915
-3.0000,-2.3000,0.654136
-3.0000,-2.2667,0.673627
-3.0000,-2.2333,0.760949
-3.0000,-2.2000,0.792915
-3.0000,-2.1667,0.833458
-3.0000,-2.1333,0.889593
-3.0000,-2.1000,0.952746
-3.0000,-2.0667,0.96522
-3.0000,-2.0333,1.02572
-3.0000,-2.0000,1.08576
-3.0000,-1.9667,1.13363
-3.0000,-1.9333,1.18618
-3.0000,-1.9000,1.25837
-3.0000,-1.8667,1.17464
-3.0000,-1.8333,1.20925
-3.0000,-1.8000,1.24325
-3.0000,-1.7667,1.23623
-3.0000,-1.7333,1.19678
-3.0000,-1.7000,1.20847
-3.0000,-1.6667,1.11336
-3.0000,-1.6333,1.09075
-3.0000,-1.6000,1.13394
-3.0000,-1.5667,1.16871
-3.0000,-1.5333,1.19101
-3.0000,-1.5000,1.24434
-3.0000,-1.4667,1.31607
-3.0000,-1.4333,1.28254
-3.0000,-1.4000,1.28098
-3.0000,-1.3667,1.28644
-3.0000,-1.3333,1.24621
-3.0000,-1.3000,1.32511
-3.0000,-1.2667,1.45641
-3.0000,-1.2333,1.52767
-3.0000,-1.2000,1.55574
-3.0000,-1.1667,1.58692
-3.0000,-1.1333,1.66801
-3.0000,-1.1000,1.69296
-3.0000,-1.0667,1.71494
-3.0000,-1.0333,1.57616
-3.0000,-1.0000,1.47855
-3.0000,-0.9667,1.5601
-3.0000,-0.9333,1.82129
-3.0000,-0.9000,1.71837
-3.0000,-0.8667,1.7204
-3.0000,-0.8333,2.04926
-3.0000,-0.8000,2.06657
-3.0000,-0.7667,1.78807
-3.0000,-0.7333,1.69389
-3.0000,-0.7000,1.71837
-3.0000,-0.6667,1.68438
-3.0000,-0.6333,1.64087
-3.0000,-0.6000,1.64275
-3.0000,-0.5667,1.49882
-3.0000,-0.5333,1.50007
-3.0000,-0.5000,1.54139
-3.0000,-0.4667,1.5074
-3.0000,-0.4333,1.52424
-3.0000,-0.4000,1.73599
-3.0000,-0.3667,1.72773
-3.0000,-0.3333,1.80757
-3.0000,-0.3000,1.9136
-3.0000,-0.2667,2.0056
