ID_src,l,b,yield,alphaCadence,alphaTexp
1820,6.6,-4.0,0.0549066925221174,-0.26911579630144544,0.4841734798611363
1819,6.6,-3.8,0.0571988471578356,-0.2840787933183459,0.5516016052470193
1818,6.6,-3.6,0.0655382896161642,-0.30128316553673884,0.5877820323518704
1817,6.6,-3.4,0.0702929412279096,-0.2781382645487735,0.4998532780087685
1816,6.6,-3.2,0.07431770864033341,-0.26682073630516334,0.40286147328285743
1815,6.6,-3.0,0.0689865373572174,-0.29608102950664517,0.49098768793871717
1814,6.6,-2.8,0.0730651299863136,-0.3219632933492867,0.46767853778359303
1813,6.6,-2.6,0.07401586566617399,-0.2802431963891833,0.46760092810243076
1812,6.6,-2.4,0.0719750203343868,-0.29458366658224877,0.4699197397617358
1811,6.6,-2.2,0.0988134308506794,-0.28248416248800146,0.475623690842367
1810,6.6,-2.0,0.10277091063174301,-0.2846423338782018,0.4791478881544524
1809,6.6,-1.8,0.10598406178964279,-0.28006386981019066,0.3797800186002131
1808,6.6,-1.6,0.13550912414396282,-0.2774204588273041,0.5172226626084797
1807,6.6,-1.4,0.1160959362966966,-0.2551589459073879,0.37337616922976513
1806,6.6,-1.2,0.1250126256153264,-0.25134746609554354,0.392551396910631
1805,6.6,-1.0,0.12019433882034661,-0.22622155290734197,0.4076833737845534
1804,6.6,-0.8,0.1316330048458602,-0.22164819177466952,0.4586165589625993
1803,6.6,-0.6,0.046945218025936805,-0.22082887734174064,0.44464305681421895
1802,6.6,-0.4,0.07237578694419361,-0.2356190624342858,0.5615660094342174
1801,6.6,-0.2,0.14265884286945002,-0.21297978021331793,0.42176521362854696
1821,6.6,0.0,0.162122755286592,-0.19668916707795958,0.3875723455185992
1822,6.6,0.2,0.1724753804728908,-0.2201411443102039,0.41708922792457903
1823,6.6,0.4,0.21560097590732097,-0.22420991637874835,0.37230410191860486
1824,6.6,0.6,0.23660587610145958,-0.22279850875510565,0.3667693446676657
1825,6.6,0.8,0.1732515370284054,-0.22511674158349532,0.3452547969984586
1826,6.6,1.0,0.1586961514884786,-0.23140689702465755,0.3293989527214618
1827,6.6,1.2,0.1828971508301856,-0.22915652203815004,0.39256905846134893
1828,6.6,1.4,0.1764954985982946,-0.24961676402190672,0.4246004660432615
1829,6.6,1.6,0.1520145156747708,-0.2624769477276051,0.4469264099137671
1830,6.6,1.8,0.13912782535342919,-0.2535952866893571,0.4140573495437886
1831,6.6,2.0,0.1361108397011958,-0.2740198806555382,0.3920970604155419
1832,6.6,2.2,0.1233327155980746,-0.25922112402675246,0.4175286672745028
1833,6.6,2.4,0.1052652373896882,-0.2814965147305009,0.3610726548993531
1834,6.6,2.6,0.090135769033614,-0.29641285758367636,0.48241673525790485
1835,6.6,2.8,0.0786799950693696,-0.2844516530628085,0.4652477928222748
1836,6.6,3.0,0.07601080897072199,-0.28025009426715447,0.5148928232641168
1837,6.6,3.2,0.0747619273332492,-0.28546097810202964,0.4000482581224729
1838,6.6,3.4,0.046469868063702,-0.31599855136401456,0.49241773152316837
1839,6.6,3.6,0.062139539231860205,-0.29152128504724967,0.4563156535325349
1840,6.6,3.8,0.055311285439610405,-0.2904279354850512,0.47494425604750334
1780,6.4,-4.0,0.05833356129799559,-0.27067496827165216,0.3954656115538609
1779,6.4,-3.8,0.0651703498708536,-0.2734523298993008,0.420782345059689
