l,b,yield,alphaCadence,alphaTexp
6.6,-4.0,0.012706723928317799,-0.785956379712866,0.8755918800289032
6.6,-3.8,0.0134703328528686,-0.7533493220376405,1.1688900151948287
6.6,-3.6,0.0149754480047322,-0.7947377431945234,1.3248977285368015
6.6,-3.4,0.0160124850380946,-0.8003966966516303,1.0060086583928252
6.6,-3.2,0.0173380490511018,-0.7511064983604318,0.7916886027394137
6.6,-3.0,0.0151743539728296,-0.7916822969741331,1.0599207511894164
6.6,-2.8,0.0159136939379088,-0.8340810282058223,1.1362635657445603
6.6,-2.6,0.0160425633161274,-0.804573055712809,1.1702213976820546
6.6,-2.4,0.016921957399344,-0.7468356972994538,0.8837536289558289
6.6,-2.2,0.022894133551984802,-0.7506413173739203,1.0343582475093198
6.6,-2.0,0.0250442430369864,-0.7095161847822133,0.8365495378059311
6.6,-1.8,0.0252661022350506,-0.7465661038298385,1.1509721503187382
6.6,-1.6,0.0316189264711296,-0.6817213254162011,0.8931531824307891
6.6,-1.4,0.0271593116454234,-0.7052104610535215,0.9074577638162942
6.6,-1.2,0.0322456726629702,-0.6367334641717729,0.7707212933011082
6.6,-1.0,0.0272350264525566,-0.660070574702458,0.9138782673476524
6.6,-0.8,0.0314031541481886,-0.6164684557726273,0.9416014405390642
6.6,-0.6,0.0085701590476662,-0.6220335218686209,1.008602886569275
6.6,-0.4,0.0142103237400414,-0.6496145492951926,1.2482651434096041
6.6,-0.2,0.0358156231805778,-0.5589432022734271,0.8618758711580111
6.6,0.0,0.0405595947459894,-0.5317578019503026,0.965263759435239
6.6,0.2,0.0430381494560274,-0.5840311052499534,0.797261190264099
6.6,0.4,0.054094561891575604,-0.6345229584219456,0.9264229027485668
6.6,0.6,0.06211746067671241,-0.6202994565081342,1.0193100211938653
6.6,0.8,0.0421083095389128,-0.6389187907497657,0.9493529327534904
6.6,1.0,0.0392861894276436,-0.6774127249240102,0.8075042600772026
6.6,1.2,0.045305954590094996,-0.6158602702519974,0.9449684017619899
6.6,1.4,0.0407612289613998,-0.7226810255240642,1.0979572982006218
6.6,1.6,0.0379204841764968,-0.6744266893976706,1.0151380975250952
6.6,1.8,0.034875946592892004,-0.6677875141319335,0.738330828119193
6.6,2.0,0.030381081716299198,-0.7214226932217321,1.0877501131846248
6.6,2.2,0.027459543548247596,-0.7582995598265064,0.926643662455936
6.6,2.4,0.024179173769047803,-0.7351207579264015,0.9742692716404908
6.6,2.6,0.0200688305743998,-0.8239179266664793,1.069609442374896
6.6,2.8,0.017833036921024198,-0.770702067447066,1.1653850956952412
6.6,3.0,0.0158964245972118,-0.8266630591070089,1.149586460006558
6.6,3.2,0.0171537878997738,-0.7883143277636259,0.7433955384744834
6.6,3.4,0.009599734055769,-0.850971344992487,1.0178708594828314
6.6,3.6,0.0145268221725576,-0.7668260770282896,0.9801321936696948
6.6,3.8,0.013227334882756198,-0.8060451073752308,0.774485693016412
6.4,-4.0,0.013742099599500601,-0.7752399911974972,0.9914103786561825
6.4,-3.8,0.0141832081316472,-0.8411435422600333,1.0467084459153277
6.4,-3.6,0.0156459771917358,-0.8302200882430818,1.072082101957365
6.4,-3.4,0.015245592546789602,-0.8511645874925743,0.9316570874036348
6.4,-3.2,0.0150919507427772,-0.846858723935475,0.9671502335515814
6.4,-3.0,0.018943574495385,-0.8093006170473385,1.1351178957523913
6.4,-2.8,0.019948984959374402,-0.7944073183496043,0.79795516881973
6.4,-2.6,0.017247440483665798,-0.834555766824259,1.0918628417153795
6.4,-2.4,0.0241791320422572,-0.7289274253163037,0.6823077077886969
6.4,-2.2,0.024567328399199402,-0.7679628929820067,0.8801062531599767
6.4,-2.0,0.025640948594196602,-0.7768300226940152,0.799104284768155
6.4,-1.8,0.028922754454623,-0.7551868328602732,0.9881448114378178
6.4,-1.6,0.0247722085125906,-0.7183899621306187,1.0770024180759286
6.4,-1.4,0.0233218457957904,-0.7060239611745744,0.8883531958706772
6.4,-1.2,0.022276833183440398,-0.6903415883654327,0.9166697225888641
6.4,-1.0,0.0224745451444332,-0.7065150826585556,0.9585576624564458
6.4,-0.8,0.0277129000478568,-0.6645822233063039,0.9065333090483747
6.4,-0.6,0.0142200824181372,-0.6170541435761825,1.0947284658868097
6.4,-0.4,0.0213256480978266,-0.5852283377858405,1.0438100031390392
6.4,-0.2,0.0498499970117838,-0.575979518824972,0.8183563727209158
6.4,0.0,0.0731548893963936,-0.5508225623330003,0.7914651791692332
6.4,0.2,0.0429805295437704,-0.563246355434893,1.0165160944449505
6.4,0.4,0.0637889879082924,-0.6214925546558134,0.8490395379452667
6.4,0.6,0.0755049103295304,-0.6028442045092871,0.8538799349169284
6.4,0.8,0.045394976126284195,-0.6247911051592876,0.9994317476361838
6.4,1.0,0.0398652008408784,-0.6174117025199706,0.9003715728096967
6.4,1.2,0.0508331360626848,-0.6277501594336934,0.737418376361888
6.4,1.4,0.0389788017681366,-0.7442235567319105,1.1857941371225664
6.4,1.6,0.0389438603681772,-0.7030096763851723,1.038522004454986
6.4,1.8,0.035501077992966,-0.7047662496399434,0.8739582378292741
6.4,2.0,0.0318834392249928,-0.7481654130300935,0.9960384914430135
6.4,2.2,0.029947907584926,-0.7390171194259872,0.9321681514900029
6.4,2.4,0.0266092197936684,-0.7614690368227873,0.8325719038679271
6.4,2.6,0.023431246250143797,-0.7998288198435913,0.9863106151609764
6.4,2.8,0.0208745576544504,-0.817386336062689,1.0897924455853523
6.4,3.0,0.019059298544421,-0.8035506072389444,0.8293562579724137
6.4,3.2,0.017210532858765,-0.8013703863214571,0.8051714679616631
6.4,3.4,0.015541090970512199,-0.8057578853475074,0.9473721951915053
6.4,3.6,0.014476021076058,-0.8393722160934067,1.3116780291714893
6.4,3.8,0.0131280575353392,-0.8371038358582937,1.0257799775867018
6.2,-4.0,0.015226053229079401,-0.7554467763313316,0.8875440991551674
6.2,-3.8,0.0143770804014948,-0.8691547967382138,1.125649148737882
6.2,-3.6,0.015162023814874201,-0.778373624926147,1.0379064572001524
6.2,-3.4,0.016994784561756602,-0.8613140772679446,0.94882666335605
6.2,-3.2,0.0195793732845702,-0.8067329475120758,1.0603887752058583
6.2,-3.0,0.0201348061661676,-0.8268154226707893,0.8939987387035122
6.2,-2.8,0.0223642777113024,-0.7849253335409287,0.8615690313452539
6.2,-2.6,0.0248982873585474,-0.7833071392869975,0.9154379259546426
6.2,-2.4,0.0233587724372502,-0.7968673509443165,1.0064238663200562
6.2,-2.2,0.024127987534061403,-0.7915008811204817,1.0267531001439194
6.2,-2.0,0.023924529287356198,-0.7391180345990606,0.9626056402294741
6.2,-1.8,0.032421457981437,-0.7150393721386292,1.0530942898140971
6.2,-1.6,0.0279014020606662,-0.7788996063861204,1.3739816793365724
6.2,-1.4,0.033939526309923,-0.7264516287241607,0.8577511581220081
6.2,-1.2,0.025014166935996597,-0.6402486982677671,0.8027210840540799
6.2,-1.0,0.0214177236068754,-0.704221410989033,0.8857073994066604
6.2,-0.8,0.010674676890747,-0.6418187568360643,1.1228534306281595
6.2,-0.6,0.008848057780395,-0.664062032135112,1.2599494502779882
6.2,-0.4,0.0073436189026176,-0.6967602131877945,1.8040726913858023
6.2,-0.2,0.0382115674812084,-0.5239341525936453,0.9058639483865402
6.2,0.0,0.0623820183317874,-0.5311303852270807,0.7927771123471342
6.2,0.2,0.05939692730700839,-0.5729660456032891,0.7015364557627345
6.2,0.4,0.081084972070077,-0.6296114860686616,1.0195466311348953
6.2,0.6,0.07389392520047221,-0.6379558938459414,0.7829139355348869
6.2,0.8,0.0694594651998546,-0.6178237470651068,0.815834804143921
6.2,1.0,0.051995606115502205,-0.6434737798754039,0.8802048693599707
6.2,1.2,0.0509358525339102,-0.6697747910397968,0.7539618251853836
6.2,1.4,0.0458700345744108,-0.7154505624875994,0.8483361618627566
6.2,1.6,0.0411221053605426,-0.7376176666666928,0.8903682862273179
6.2,1.8,0.0367708098285498,-0.688960366140909,0.9568346573145261
6.2,2.0,0.0356950960251858,-0.7408615527993988,0.9851411279014008
6.2,2.2,0.030787660228888798,-0.7613979572346155,1.0910264778123078
6.2,2.4,0.026784026250864,-0.8332388562313343,1.0689708232423505
6.2,2.6,0.0242420521796442,-0.7925958839634534,0.9196880831424187
6.2,2.8,0.023615721232555204,-0.7416078436281924,0.8820304847298023
6.2,3.0,0.0223669031627472,-0.8130373631512017,0.8571598454679994
6.2,3.2,0.0183023690139798,-0.850494367589007,1.1084851517087566
6.2,3.4,0.0165028958885148,-0.8131488978374686,0.7619793461347464
6.2,3.6,0.015528189759782998,-0.8387467980472624,0.9395059092841511
6.2,3.8,0.0137745305244276,-0.8099355891608603,0.8963866845585821
6.0,-4.0,0.015282241527855001,-0.8570272458962173,1.0533843955450914
6.0,-3.8,0.0172894868461752,-0.8238497854385647,1.0989953912671324
6.0,-3.6,0.0166988955986982,-0.8576833567358257,1.2138581723860784
6.0,-3.4,0.01887463001661,-0.8193866371173375,0.8803250598411001
6.0,-3.2,0.021254188870383002,-0.8266355773994606,0.9032723783069142
6.0,-3.0,0.0242382129518676,-0.8330897021366929,1.1380779500739167
6.0,-2.8,0.0242167358942778,-0.7985619757997282,0.8616826753188948
6.0,-2.6,0.026798218036332,-0.8000657435701367,1.2061312111904265
6.0,-2.4,0.026559234100964398,-0.8026361176688656,0.9319582660524288
6.0,-2.2,0.030374150589742802,-0.7813927613681085,1.1065084604015387
6.0,-2.0,0.025841199083799598,-0.7697170536700382,0.9998505769143521
6.0,-1.8,0.0297623790458772,-0.7337271944738235,1.1931376479184987
6.0,-1.6,0.0066808134170328005,-0.6405430702867175,1.1690253334267093
6.0,-1.4,0.0282891634034046,-0.738032881231319,1.239180766989534
6.0,-1.2,0.014098109341819801,-0.6976748884158736,1.1451565750155082
6.0,-1.0,0.038893744755564,-0.6832251713945717,0.9805553749531117
6.0,-0.8,0.0262023244085334,-0.6876736541075387,1.178558661190962
6.0,-0.6,0.0015904171159463998,-0.9348213971504175,2.493890723926125
6.0,-0.4,0.002005952261166,-1.0206429969307367,2.292615521817322
6.0,-0.2,0.0325626189631914,-0.616222961464882,1.0710889778893278
6.0,0.0,0.0685828305733368,-0.6129060971637839,1.028740391721806
6.0,0.2,0.0585324270731844,-0.5918571520700552,0.8391984498557007
6.0,0.4,0.08046160312658521,-0.5992911083692694,0.628853424285187
6.0,0.6,0.0326432708454432,-0.6156168156123597,0.9377115519219373
6.0,0.8,0.06959535113300641,-0.6088685258159934,0.8203482241770684
6.0,1.0,0.067155069769314,-0.6711089500275413,1.02641021135655
6.0,1.2,0.0583606531925094,-0.6534257701769937,0.823022459666745
6.0,1.4,0.0510632848635942,-0.688068932405929,1.0681314769798436
6.0,1.6,0.045580513614446996,-0.726147181303181,0.9251923039570641
6.0,1.8,0.042013887702433195,-0.6995743474905165,0.9377423738687215
6.0,2.0,0.0354026381095086,-0.7831415065503967,1.052402824725233
6.0,2.2,0.0308328958205946,-0.8204272457379469,0.8725627242516423
6.0,2.4,0.0295649335175838,-0.7778852092492718,1.08986039574095
6.0,2.6,0.0257513156735088,-0.8603625092527845,1.293663137661825
6.0,2.8,0.0211862570088258,-0.8197989658076174,0.9559396387137958
6.0,3.0,0.0228468760152468,-0.7584190799826415,1.1164456762624253
6.0,3.2,0.020316538988667,-0.8419815064365764,1.1982448844146454
6.0,3.4,0.0176949302915898,-0.8635307644587115,1.0622554028568516
6.0,3.6,0.0181556381799804,-0.7970866480422141,0.981243782400537
6.0,3.8,0.016124309141487,-0.8115952280258971,0.9068866868983658
5.8,-4.0,0.016433666598069,-0.8127940884638953,1.0801396533231917
